Category;Description;Nutrient Data Bank Number;Data,Alpha Carotene;Data,Ash;Data,Beta Carotene;Data,Beta Cryptoxanthin;Data,Carbohydrate;Data,Cholesterol;Data,Choline;Data,Fiber;Data,Kilocalories;Data,Lutein and Zeaxanthin;Data,Lycopene;Data,Manganese;Data,Niacin;Data,Pantothenic Acid;Data,Protein;Data,Refuse Percentage;Data,Retinol;Data,Riboflavin;Data,Selenium;Data,Sugar Total;Data,Thiamin;Data,Water;Data,Fat,Monosaturated Fat;Data,Fat,Polysaturated Fat;Data,Fat,Saturated Fat;Data,Fat,Total Lipid;Data,Household Weights,1st Household Weight;Data,Household Weights,1st Household Weight Description;Data,Household Weights,2nd Household Weight;Data,Household Weights,2nd Household Weight Description;Data,Major Minerals,Calcium;Data,Major Minerals,Copper;Data,Major Minerals,Iron;Data,Major Minerals,Magnesium;Data,Major Minerals,Phosphorus;Data,Major Minerals,Potassium;Data,Major Minerals,Sodium;Data,Major Minerals,Zinc;Data,Vitamins,Vitamin A - IU;Data,Vitamins,Vitamin A - RAE;Data,Vitamins,Vitamin B12;Data,Vitamins,Vitamin B6;Data,Vitamins,Vitamin C;Data,Vitamins,Vitamin E;Data,Vitamins,Vitamin K
BUTTER;BUTTER,WITH SALT;1001,00;0,00;0,09;158,00;0,00;0,00;215,00;19,00;0,00;717,00;0,00;0,00;0,00;0,04;0,01;0,06;0,00;671,00;0,03;0,04;0,06;0,01;0,69;21021,00;3043,00;51368,00;3,38;9,46;1 cup;14,00;1 tbsp;24,00;0,00;0,00;2,00;24,00;24,00;576,00;0,01;2499,00;684,00;0,01;0,00;0,00;0,11;0,29
BUTTER;BUTTER,WHIPPED,WITH SALT;1002,00;0,00;0,09;158,00;0,00;0,00;219,00;19,00;0,00;717,00;0,00;0,00;0,00;0,04;0,01;0,06;0,00;671,00;0,03;0,04;0,06;0,01;0,69;23426,00;3012,00;50489,00;3,38;6,29;1 cup;9,00;1 tbsp;24,00;0,02;0,01;2,00;23,00;26,00;827,00;0,00;2499,00;684,00;0,01;0,00;0,00;0,11;0,29
BUTTER OIL;BUTTER OIL,ANHYDROUS;1003,00;0,00;0,00;193,00;0,00;0,00;256,00;22,00;0,00;876,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;824,00;0,01;0,00;0,00;0,00;0,02;28732,00;3694,00;61924,00;4,16;8,54;1 cup;13,00;1 tbsp;4,00;0,00;0,00;0,00;3,00;5,00;2,00;0,00;3069,00;840,00;0,00;0,00;0,00;0,09;0,34
CHEESE;CHEESE,BLUE;1004,00;0,00;0,22;74,00;0,00;0,11;75,00;15,00;0,00;353,00;0,00;0,00;0,01;1016,00;1729,00;0,88;0,00;192,00;0,27;0,59;0,00;0,03;1,78;7778,00;0,01;18669,00;28,74;1,19;1 oz;17,00;1 cubic inch;528,00;0,00;0,02;23,00;387,00;256,00;1395,00;0,13;763,00;198,00;0,06;0,12;0,00;0,02;0,09
CHEESE;CHEESE,BRICK;1005,00;0,00;0,14;76,00;0,00;0,14;94,00;15,00;0,00;371,00;0,00;0,00;0,01;0,08;0,20;0,98;0,00;286,00;0,24;0,59;0,51;0,01;1,72;8598,00;0,54;18764,00;29,68;5,50;1 cup, diced;113,00;1 cup, shredded;674,00;0,02;0,03;24,00;451,00;136,00;560,00;0,09;1080,00;292,00;0,06;0,07;0,00;0,02;0,09
CHEESE;CHEESE,BRIE;1006,00;0,00;0,09;9,00;0,00;0,03;100,00;15,00;0,00;334,00;0,00;0,00;0,03;0,03;0,05;0,89;0,00;173,00;0,04;0,59;0,45;0,00;2,03;8013,00;0,57;0,74;27,68;10,00;1 cup, melted;144,00;1 cup, sliced;184,00;0,02;0,00;20,00;188,00;152,00;629,00;0,11;592,00;174,00;0,09;0,16;0,00;0,02;0,09
CHEESE;CHEESE,CAMEMBERT;1007,00;0,00;0,17;12,00;0,00;0,03;72,00;15,00;0,00;300,00;0,00;0,00;0,04;0,04;1364,00;0,80;0,00;240,00;0,34;0,59;0,46;0,03;2,13;7023,00;0,50;15259,00;1,02;10,25;1 cup;28,00;1 oz;388,00;0,02;0,02;20,00;347,00;187,00;842,00;0,11;820,00;241,00;0,04;0,16;0,00;0,01;0,08
CHEESE;CHEESE,CARAWAY;1008,00;0,00;0,14;0,00;0,00;0,13;93,00;0,00;0,00;376,00;0,00;0,00;0,02;0,01;0,01;1,05;0,00;262,00;0,03;0,59;0,00;0,03;1,64;8275,00;0,06;18584,00;1,21;1,19;1 oz;0,00;;673,00;0,02;0,04;22,00;490,00;93,00;690,00;0,15;1054,00;271,00;0,02;0,07;0,00;0,00;0,00
CHEESE;CHEESE,CHEDDAR;1009,00;0,00;0,19;85,00;0,00;0,06;105,00;16,00;0,00;403,00;0,00;0,00;0,00;0,01;0,29;1,01;0,00;258,00;0,26;0,55;0,52;0,03;36,75;9391,00;0,65;21092,00;1,38;5,50;1 cup, diced;244,00;1 cup, melted;721,00;0,03;0,05;28,00;512,00;98,00;621,00;0,13;1002,00;265,00;0,06;0,07;0,00;0,02;0,09
CHEESE;CHEESE,CHESHIRE;1010,00;0,00;0,13;0,00;0,00;0,22;103,00;0,00;0,00;387,00;0,00;0,00;0,01;0,01;0,29;0,98;0,00;220,00;0,20;0,59;0,00;0,05;37,65;8671,00;0,06;19475,00;1,25;1,19;1 oz;0,00;;643,00;0,04;0,01;21,00;464,00;95,00;700,00;0,14;985,00;233,00;0,06;0,07;0,00;0,00;0,00
CHEESE;CHEESE,COLBY;1011,00;0,00;0,15;82,00;0,00;0,12;95,00;15,00;0,00;394,00;0,00;0,00;0,01;0,09;0,01;1,01;0,00;257,00;0,26;0,59;0,52;0,02;1,58;0,39;0,66;20218,00;1,34;5,50;1 cup, diced;113,00;1 cup, shredded;685,00;0,04;0,05;26,00;457,00;127,00;604,00;0,13;994,00;264,00;0,06;0,08;0,00;0,02;0,09
CHEESE;CHEESE,COTTAGE,CRMD,LRG OR SML CURD;1012,00;0,00;0,07;12,00;0,00;0,15;17,00;18,00;0,00;98,00;0,00;0,00;0,00;0,10;0,39;0,47;0,00;36,00;0,11;0,38;2670000076,00;0,03;79,79;0,54;0,09;1718,00;0,17;4,71;4 oz;210,00;1 cup, large curd (not packed);83,00;0,03;0,00;8,00;159,00;104,00;364,00;0,00;140,00;37,00;0,03;0,05;0,00;0,01;0,00
CHEESE;CHEESE,COTTAGE,CRMD,W/FRUIT;1013,00;0,00;0,04;14,00;0,00;0,21;13,00;18,00;0,20;97,00;0,00;0,00;0,00;0,01;0,13;0,46;0,00;37,00;0,10;0,30;2380000114,00;0,03;79,64;1036,00;0,09;2311,00;0,18;9,42;1 cup,  (not packed);113,00;4 oz;53,00;0,00;0,01;7,00;113,00;90,00;344,00;0,02;146,00;38,00;0,04;0,07;0,04;0,00;0,00
CHEESE;CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD;1014,00;0,00;0,09;0,00;0,00;0,30;7,00;18,00;0,00;72,00;0,00;0,00;0,02;0,10;0,31;0,44;0,00;2,00;0,16;0,38;1850000024,00;0,02;3,38;0,08;0,00;0,12;0,02;6,04;1 cup,  (not packed);113,00;4 oz;86,00;0,00;0,01;11,00;190,00;137,00;330,00;0,03;8,00;2,00;0,03;0,02;0,00;0,00;0,00
CHEESE;CHEESE,COTTAGE,LOWFAT,2% MILKFAT;1015,00;0,00;0,07;6,00;0,00;0,17;10,00;16,00;0,00;86,00;0,00;0,00;0,01;0,08;0,18;0,52;0,00;19,00;0,14;0,38;3670000076,00;0,04;80,69;0,31;0,00;0,68;0,11;9,42;1 cup,  (not packed);113,00;4 oz;91,00;0,00;0,01;7,00;163,00;84,00;330,00;0,03;74,00;20,00;0,03;0,02;0,00;0,00;0,00
CHEESE;CHEESE,COTTAGE,LOWFAT,1% MILKFAT;1016,00;0,00;0,07;3,00;0,00;0,13;4,00;18,00;0,00;72,00;0,00;0,00;0,00;0,09;0,15;0,53;0,00;11,00;0,11;0,38;2720000029,00;0,02;3,45;0,20;0,03;0,45;0,04;9,42;1 cup,  (not packed);113,00;4 oz;61,00;0,03;0,01;5,00;134,00;86,00;406,00;0,03;41,00;11,00;0,04;0,07;0,00;0,00;0,00
CHEESE;CHEESE,CREAM;1017,00;0,00;0,06;41,00;0,00;0,17;110,00;27,00;0,00;342,00;0,00;0,00;0,01;0,10;0,04;0,27;0,00;359,00;0,09;0,09;3210000038,00;0,00;2,28;0,38;1437,00;19292,00;1,43;9,67;1 cup;14,00;1 tbsp;98,00;0,02;0,03;9,00;106,00;138,00;321,00;0,04;1265,00;362,00;0,02;0,04;0,00;0,05;0,13
CHEESE;CHEESE,EDAM;1018,00;0,00;0,18;11,00;0,00;0,07;89,00;15,00;0,00;357,00;0,00;0,00;0,01;0,08;0,20;24,99;0,00;242,00;0,27;0,59;1429999948,00;0,04;1,75;8125,00;0,46;17572,00;1,13;1,19;1 oz;198,00;1 package,  (7 oz);731,00;0,04;0,03;30,00;536,00;188,00;965,00;0,18;825,00;243,00;0,08;0,08;0,00;0,02;0,09
