Data.Fat.Total Lipid,Data.Fat.Saturated Fat,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Cholesterol,Cluster,PCA1,PCA2,Cluster_PCA,Category
81.11,51.368,21.021,3.043,215,1,7.179678008561669,2.1134436670888888,0,BUTTER
81.11,50.489,23.426,3.012,219,1,7.293422297938651,2.11548301599683,0,BUTTER
99.48,61.924,28.732,3.694,256,1,9.172324442253643,2.5480649848959356,0,BUTTER OIL
28.74,18.669,7.778,0.8,75,0,1.9039368534836552,0.6005704060018916,2,CHEESE
29.68,18.764,8.598,0.784,94,0,2.013407197566431,0.7502169019773414,2,CHEESE
27.68,17.41,8.013,0.826,100,0,1.8174398768321047,0.7771864232628081,2,CHEESE
24.26,15.259,7.023,0.724,72,0,1.4542242374175376,0.5246964206423173,2,CHEESE
29.2,18.584,8.275,0.83,93,0,1.9644640042329768,0.7393819794915946,2,CHEESE
33.14,21.092,9.391,0.942,105,0,2.3693657704819198,0.8676210860999932,2,CHEESE
30.6,19.475,8.671,0.87,103,0,2.112077948303299,0.8312649362378965,2,CHEESE
32.11,20.218,9.28,0.953,95,0,2.260697397910109,0.7716815056757609,2,CHEESE
4.3,1.718,0.778,0.123,17,0,-0.6949724938606138,-0.08925963736770284,1,CHEESE
3.85,2.311,1.036,0.124,13,0,-0.6547028316900039,-0.11113892975754033,1,CHEESE
0.29,0.169,0.079,0.003,7,0,-1.0069803545613258,-0.1849954047111876,1,CHEESE
2.45,0.979,0.443,0.07,10,0,-0.84283095456056,-0.15319242192346313,1,CHEESE
1.02,0.645,0.291,0.031,4,0,-0.9336408577069331,-0.20353654913662264,1,CHEESE
34.24,19.292,8.62,1.437,110,0,2.276321802991465,0.8557965638322748,2,CHEESE
27.8,17.572,8.125,0.665,89,0,1.8197107373807229,0.6973626140785033,2,CHEESE
21.28,14.946,4.623,0.591,89,0,1.15593929947416,0.6802765860294021,2,CHEESE
31.14,19.196,8.687,1.654,116,0,2.188500738992703,0.8972055867966069,2,CHEESE
29.51,19.16,7.879,0.938,94,0,1.9955247834070822,0.7560035655115905,2,CHEESE
27.44,17.614,7.747,0.657,114,0,1.7985062015165107,0.9032060807704104,2,CHEESE
32.34,18.913,10.043,1.733,110,0,2.3117671708599614,0.83007467073516,2,CHEESE
27.25,16.746,8.606,0.495,90,0,1.7655407128300102,0.6944924627210389,2,CHEESE
30.28,19.066,8.751,0.899,89,0,2.072287663402304,0.7090708589389721,2,CHEESE
22.35,13.152,6.573,0.765,79,0,1.2208905328009296,0.5443435914972341,2,CHEESE
